disease,symptoms,tests,specialist to Consult,urgency 
Idiopathic pulmonary fibrosis,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Pneumothorax,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Pleural effusion,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Pulmonary hypertension,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
ARDS,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Bronchiolitis,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Upper respiratory infection,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Chronic Pleural effusion (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Fulminant Bronchiolitis (with secondary infection),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Chronic Bronchiolitis,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Severe ARDS (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Recurrent Bronchiolitis,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Acute Pulmonary hypertension (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Recurrent Pulmonary hypertension (with secondary infection),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Acute Upper respiratory infection (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Subacute Bronchiectasis (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Acute Pneumothorax (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Acute Upper respiratory infection (with secondary infection),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Drug-induced Pulmonary hypertension (with metastasis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Recurrent Upper respiratory infection (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Pleural effusion,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Chronic Upper respiratory infection (complicated by sepsis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Mild ARDS,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Chronic Idiopathic pulmonary fibrosis (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Mild Pneumothorax,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Severe Bronchiectasis (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Recurrent Bronchiolitis (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Subacute Pulmonary hypertension (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Subacute Pleural effusion (complicated by sepsis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Fulminant COPD (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Acute Bronchiolitis (with metastasis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Chronic Pneumothorax (with secondary infection),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Subacute Pneumothorax,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Chronic COPD (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Post-infectious Asthma (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Acute Bronchiolitis (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Bronchiolitis (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Subacute COPD (with obstruction),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Fulminant Pneumothorax (with metastasis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Acute Bronchiectasis,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Post-infectious Asthma (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Fulminant Bronchiectasis (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Drug-induced COPD (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Recurrent Idiopathic pulmonary fibrosis (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Post-infectious Upper respiratory infection (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Idiopathic pulmonary fibrosis (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Mild Pulmonary hypertension (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Post-infectious ARDS (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Subacute Upper respiratory infection (with secondary infection),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Severe Asthma (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Severe Bronchiectasis (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Drug-induced Bronchiectasis (with obstruction),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Chronic Pneumothorax (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Severe Asthma (with metastasis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Chronic Asthma (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Mild Idiopathic pulmonary fibrosis (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Severe Pneumothorax (with hemorrhage),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Subacute Asthma (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Severe Pleural effusion (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Severe COPD (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Mild Asthma,"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Mild Bronchiectasis (with metastasis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Fulminant COPD (with obstruction),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Post-infectious Idiopathic pulmonary fibrosis (complicated by sepsis),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
Acute Upper respiratory infection,"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Moderate
Mild ARDS (with secondary infection),"Persistent cough, dyspnea, or wheeze; sputum production when infective or inflammatory. Exertional breathlessness and chest tightness can indicate chronic disease. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Post-infectious Upper respiratory infection (with metastasis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,High
Subacute Bronchiectasis (with hemorrhage),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Low
Severe Pneumothorax (complicated by sepsis),"Acute severe shortness of breath, pleuritic chest pain and hypoxia are red flags indicating urgent respiratory compromise. Patients may also report gradual onset or episodic flares depending on the disease course.","Chest X-ray and spirometry for chronic lung disease; CT chest for interstitial or nodular disease. Sputum culture, pulse oximetry and arterial blood gases when hypoxia is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Pulmonologist,Emergency
